Sample_ID	Concentration	Ratio_260_280	Ratio_260_230	Day	Sample_Well_ID	Sample_Plate_ID	Molecule	Host	Experiment_name	Treatment_name	Treatment_ID	Leaf_replicate	Psyllid_replicate	qPCR_Well_ID	qPCR_plate_ID
U7_T0	54.2	2.01	2.19	0	G3	1	DNA	Citrus	Detached_leaf	1_mg_ml_803590	803590	7	NA	M3	1
U7_T0	54.2	2.01	2.19	0	G3	1	DNA	Citrus	Detached_leaf	1_mg_ml_803590	803590	7	NA	M4	1
U5_T7	41.8	1.98	1.92	7	H3	1	DNA	Citrus	Detached_leaf	1_mg_ml_803590	803590	5	NA	O3	1
U5_T7	41.8	1.98	1.92	7	H3	1	DNA	Citrus	Detached_leaf	1_mg_ml_803590	803590	5	NA	O4	1
S6_T0	27.7	2.07	2.48	0	A4	1	DNA	Citrus	Detached_leaf	1_mg_ml_803626	803626	6	NA	B3	1
S6_T0	27.7	2.07	2.48	0	A4	1	DNA	Citrus	Detached_leaf	1_mg_ml_803626	803626	6	NA	B4	1
S2_T7	93.9	2.04	2.27	7	B4	1	DNA	Citrus	Detached_leaf	1_mg_ml_803626	803626	2	NA	D3	1
S2_T7	93.9	2.04	2.27	7	B4	1	DNA	Citrus	Detached_leaf	1_mg_ml_803626	803626	2	NA	D4	1
S9_T0	43	2.05	2.14	0	C4	1	DNA	Citrus	Detached_leaf	1_mg_ml_803626	803626	9	NA	F3	1
S9_T0	43	2.05	2.14	0	C4	1	DNA	Citrus	Detached_leaf	1_mg_ml_803626	803626	9	NA	F4	1
P2_T7	27.9	2.07	2.01	7	D4	1	DNA	Citrus	Detached_leaf	1_mg_ml_838921	838921	2	NA	H3	1
P2_T7	27.9	2.07	2.01	7	D4	1	DNA	Citrus	Detached_leaf	1_mg_ml_838921	838921	2	NA	H4	1
Q9_T0	41.1	2.07	2.26	0	E4	1	DNA	Citrus	Detached_leaf	1_mg_ml_803584	803584	9	NA	J3	1
Q9_T0	41.1	2.07	2.26	0	E4	1	DNA	Citrus	Detached_leaf	1_mg_ml_803584	803584	9	NA	J4	1
V8_T7	43.6	2.1	2.17	7	F4	1	DNA	Citrus	Detached_leaf	0.5_mg_ml_Polymyxin_B_sulfate	PMB	8	NA	L3	1
V8_T7	43.6	2.1	2.17	7	F4	1	DNA	Citrus	Detached_leaf	0.5_mg_ml_Polymyxin_B_sulfate	PMB	8	NA	L4	1
Q10_T7	26.9	2.05	2.17	7	G4	1	DNA	Citrus	Detached_leaf	1_mg_ml_803584	803584	10	NA	N3	1
Q10_T7	26.9	2.05	2.17	7	G4	1	DNA	Citrus	Detached_leaf	1_mg_ml_803584	803584	10	NA	N4	1
V2_T7	44.9	2.01	1.94	7	H4	1	DNA	Citrus	Detached_leaf	0.5_mg_ml_Polymyxin_B_sulfate	PMB	2	NA	P3	1
V2_T7	44.9	2.01	1.94	7	H4	1	DNA	Citrus	Detached_leaf	0.5_mg_ml_Polymyxin_B_sulfate	PMB	2	NA	P4	1
R4_T0	35.1	2.09	2.02	0	A5	1	DNA	Citrus	Detached_leaf	1_mg_ml_803627	803627	4	NA	A5	1
R4_T0	35.1	2.09	2.02	0	A5	1	DNA	Citrus	Detached_leaf	1_mg_ml_803627	803627	4	NA	A6	1
T7_T7	26.8	2.06	2.23	7	B5	1	DNA	Citrus	Detached_leaf	1_mg_ml_803376	803376	7	NA	C5	1
T7_T7	26.8	2.06	2.23	7	B5	1	DNA	Citrus	Detached_leaf	1_mg_ml_803376	803376	7	NA	C6	1
W2_T7	28.9	2.09	1.99	7	C5	1	DNA	Citrus	Detached_leaf	0.1_mM_Potassium_phosphate_buffer	KPO4_buffer	2	NA	E5	1
W2_T7	28.9	2.09	1.99	7	C5	1	DNA	Citrus	Detached_leaf	0.1_mM_Potassium_phosphate_buffer	KPO4_buffer	2	NA	E6	1
Q1_T7	26.6	2.12	2.17	7	D5	1	DNA	Citrus	Detached_leaf	1_mg_ml_803584	803584	1	NA	G5	1
Q1_T7	26.6	2.12	2.17	7	D5	1	DNA	Citrus	Detached_leaf	1_mg_ml_803584	803584	1	NA	G6	1
P1_T0	33.8	2.12	2.32	0	E5	1	DNA	Citrus	Detached_leaf	1_mg_ml_838921	838921	1	NA	I5	1
P1_T0	33.8	2.12	2.32	0	E5	1	DNA	Citrus	Detached_leaf	1_mg_ml_838921	838921	1	NA	I6	1
V3_T7	26	2.03	2.06	7	F5	1	DNA	Citrus	Detached_leaf	0.5_mg_ml_Polymyxin_B_sulfate	PMB	3	NA	K5	1
V3_T7	26	2.03	2.06	7	F5	1	DNA	Citrus	Detached_leaf	0.5_mg_ml_Polymyxin_B_sulfate	PMB	3	NA	K6	1
T3_T7	33.6	2.06	2.12	7	G5	1	DNA	Citrus	Detached_leaf	1_mg_ml_803376	803376	3	NA	M5	1
T3_T7	33.6	2.06	2.12	7	G5	1	DNA	Citrus	Detached_leaf	1_mg_ml_803376	803376	3	NA	M6	1
W9_T0	80.4	2.05	2.19	0	H5	1	DNA	Citrus	Detached_leaf	0.1_mM_Potassium_phosphate_buffer	KPO4_buffer	9	NA	O5	1
W9_T0	80.4	2.05	2.19	0	H5	1	DNA	Citrus	Detached_leaf	0.1_mM_Potassium_phosphate_buffer	KPO4_buffer	9	NA	O6	1
W6_T7	26.6	2.09	1.72	7	A6	1	DNA	Citrus	Detached_leaf	0.1_mM_Potassium_phosphate_buffer	KPO4_buffer	6	NA	B5	1
W6_T7	26.6	2.09	1.72	7	A6	1	DNA	Citrus	Detached_leaf	0.1_mM_Potassium_phosphate_buffer	KPO4_buffer	6	NA	B6	1
W9_T7	54.3	2.04	2.13	7	B6	1	DNA	Citrus	Detached_leaf	0.1_mM_Potassium_phosphate_buffer	KPO4_buffer	9	NA	D5	1
W9_T7	54.3	2.04	2.13	7	B6	1	DNA	Citrus	Detached_leaf	0.1_mM_Potassium_phosphate_buffer	KPO4_buffer	9	NA	D6	1
R2_T7	29.7	2.05	1.82	7	C6	1	DNA	Citrus	Detached_leaf	1_mg_ml_803627	803627	2	NA	F5	1
R2_T7	29.7	2.05	1.82	7	C6	1	DNA	Citrus	Detached_leaf	1_mg_ml_803627	803627	2	NA	F6	1
W10_T7	27.4	2.02	2.13	7	D6	1	DNA	Citrus	Detached_leaf	0.1_mM_Potassium_phosphate_buffer	KPO4_buffer	10	NA	H5	1
W10_T7	27.4	2.02	2.13	7	D6	1	DNA	Citrus	Detached_leaf	0.1_mM_Potassium_phosphate_buffer	KPO4_buffer	10	NA	H6	1
R9_T7	29.4	2.02	1.65	7	E6	1	DNA	Citrus	Detached_leaf	1_mg_ml_803627	803627	9	NA	J5	1
R9_T7	29.4	2.02	1.65	7	E6	1	DNA	Citrus	Detached_leaf	1_mg_ml_803627	803627	9	NA	J6	1
W7_T0	26.2	1.98	2.02	0	F6	1	DNA	Citrus	Detached_leaf	0.1_mM_Potassium_phosphate_buffer	KPO4_buffer	7	NA	L5	1
W7_T0	26.2	1.98	2.02	0	F6	1	DNA	Citrus	Detached_leaf	0.1_mM_Potassium_phosphate_buffer	KPO4_buffer	7	NA	L6	1
T2_T7	64	2.03	2.19	7	G6	1	DNA	Citrus	Detached_leaf	1_mg_ml_803376	803376	2	NA	N5	1
T2_T7	64	2.03	2.19	7	G6	1	DNA	Citrus	Detached_leaf	1_mg_ml_803376	803376	2	NA	N6	1
T9_T7	48.8	2	2.09	7	H6	1	DNA	Citrus	Detached_leaf	1_mg_ml_803376	803376	9	NA	P5	1
T9_T7	48.8	2	2.09	7	H6	1	DNA	Citrus	Detached_leaf	1_mg_ml_803376	803376	9	NA	P6	1
U8_T7	20.9	2.09	2.13	7	A7	1	DNA	Citrus	Detached_leaf	1_mg_ml_803590	803590	8	NA	A7	1
U8_T7	20.9	2.09	2.13	7	A7	1	DNA	Citrus	Detached_leaf	1_mg_ml_803590	803590	8	NA	A8	1
S7_T7	29.7	2.08	2.2	7	B7	1	DNA	Citrus	Detached_leaf	1_mg_ml_803626	803626	7	NA	C7	1
S7_T7	29.7	2.08	2.2	7	B7	1	DNA	Citrus	Detached_leaf	1_mg_ml_803626	803626	7	NA	C8	1
P9_T0	27.1	2.06	2.22	0	C7	1	DNA	Citrus	Detached_leaf	1_mg_ml_838921	838921	9	NA	E7	1
P9_T0	27.1	2.06	2.22	0	C7	1	DNA	Citrus	Detached_leaf	1_mg_ml_838921	838921	9	NA	E8	1
Q9_T7	44.7	2.06	2.31	7	D7	1	DNA	Citrus	Detached_leaf	1_mg_ml_803584	803584	9	NA	G7	1
Q9_T7	44.7	2.06	2.31	7	D7	1	DNA	Citrus	Detached_leaf	1_mg_ml_803584	803584	9	NA	G8	1
U5_T0	32.2	2	1.87	0	E7	1	DNA	Citrus	Detached_leaf	1_mg_ml_803590	803590	5	NA	I7	1
U5_T0	32.2	2	1.87	0	E7	1	DNA	Citrus	Detached_leaf	1_mg_ml_803590	803590	5	NA	I8	1
V7_T7	21.8	2.08	1.97	7	F7	1	DNA	Citrus	Detached_leaf	0.5_mg_ml_Polymyxin_B_sulfate	PMB	7	NA	K7	1
V7_T7	21.8	2.08	1.97	7	F7	1	DNA	Citrus	Detached_leaf	0.5_mg_ml_Polymyxin_B_sulfate	PMB	7	NA	K8	1
P8_T7	29.7	2.04	1.98	7	G7	1	DNA	Citrus	Detached_leaf	1_mg_ml_838921	838921	8	NA	M7	1
P8_T7	29.7	2.04	1.98	7	G7	1	DNA	Citrus	Detached_leaf	1_mg_ml_838921	838921	8	NA	M8	1
P3_T0	60.1	2.04	2.26	0	H7	1	DNA	Citrus	Detached_leaf	1_mg_ml_838921	838921	3	NA	O7	1
P3_T0	60.1	2.04	2.26	0	H7	1	DNA	Citrus	Detached_leaf	1_mg_ml_838921	838921	3	NA	O8	1
T9_T0	55.1	2.04	2.27	0	A8	1	DNA	Citrus	Detached_leaf	1_mg_ml_803376	803376	9	NA	B7	1
T9_T0	55.1	2.04	2.27	0	A8	1	DNA	Citrus	Detached_leaf	1_mg_ml_803376	803376	9	NA	B8	1
Q2_T0	45.5	2.08	2.33	0	B8	1	DNA	Citrus	Detached_leaf	1_mg_ml_803584	803584	2	NA	D7	1
Q2_T0	45.5	2.08	2.33	0	B8	1	DNA	Citrus	Detached_leaf	1_mg_ml_803584	803584	2	NA	D8	1
P4_T0	42.8	2.05	2.25	0	C8	1	DNA	Citrus	Detached_leaf	1_mg_ml_838921	838921	4	NA	F7	1
P4_T0	42.8	2.05	2.25	0	C8	1	DNA	Citrus	Detached_leaf	1_mg_ml_838921	838921	4	NA	F8	1
U9_T7	67.8	2.06	2.29	7	D8	1	DNA	Citrus	Detached_leaf	1_mg_ml_803590	803590	9	NA	H7	1
U9_T7	67.8	2.06	2.29	7	D8	1	DNA	Citrus	Detached_leaf	1_mg_ml_803590	803590	9	NA	H8	1
Q6_T0	27.6	2.03	2.06	0	E8	1	DNA	Citrus	Detached_leaf	1_mg_ml_803584	803584	6	NA	J7	1
Q6_T0	27.6	2.03	2.06	0	E8	1	DNA	Citrus	Detached_leaf	1_mg_ml_803584	803584	6	NA	J8	1
T5_T0	22.7	2.02	2	0	F8	1	DNA	Citrus	Detached_leaf	1_mg_ml_803376	803376	5	NA	L7	1
T5_T0	22.7	2.02	2	0	F8	1	DNA	Citrus	Detached_leaf	1_mg_ml_803376	803376	5	NA	L8	1
V9_T7	64.8	2.02	2.14	7	G8	1	DNA	Citrus	Detached_leaf	0.5_mg_ml_Polymyxin_B_sulfate	PMB	9	NA	N7	1
V9_T7	64.8	2.02	2.14	7	G8	1	DNA	Citrus	Detached_leaf	0.5_mg_ml_Polymyxin_B_sulfate	PMB	9	NA	N8	1
R10_T0	24.8	2.05	2.15	0	H8	1	DNA	Citrus	Detached_leaf	1_mg_ml_803627	803627	10	NA	P7	1
R10_T0	24.8	2.05	2.15	0	H8	1	DNA	Citrus	Detached_leaf	1_mg_ml_803627	803627	10	NA	P8	1
T5_T7	61.2	2	2.15	7	A9	1	DNA	Citrus	Detached_leaf	1_mg_ml_803376	803376	5	NA	A9	1
T5_T7	61.2	2	2.15	7	A9	1	DNA	Citrus	Detached_leaf	1_mg_ml_803376	803376	5	NA	A10	1
T4_T0	58.8	2.04	2.22	0	B9	1	DNA	Citrus	Detached_leaf	1_mg_ml_803376	803376	4	NA	C9	1
T4_T0	58.8	2.04	2.22	0	B9	1	DNA	Citrus	Detached_leaf	1_mg_ml_803376	803376	4	NA	C10	1
P5_T7	51.1	2.06	2.33	7	C9	1	DNA	Citrus	Detached_leaf	1_mg_ml_838921	838921	5	NA	E9	1
P5_T7	51.1	2.06	2.33	7	C9	1	DNA	Citrus	Detached_leaf	1_mg_ml_838921	838921	5	NA	E10	1
S1_T7	32.8	2.06	1.97	7	D9	1	DNA	Citrus	Detached_leaf	1_mg_ml_803626	803626	1	NA	G9	1
S1_T7	32.8	2.06	1.97	7	D9	1	DNA	Citrus	Detached_leaf	1_mg_ml_803626	803626	1	NA	G10	1
U4_T0	24.7	2.02	2.05	0	E9	1	DNA	Citrus	Detached_leaf	1_mg_ml_803590	803590	4	NA	I9	1
U4_T0	24.7	2.02	2.05	0	E9	1	DNA	Citrus	Detached_leaf	1_mg_ml_803590	803590	4	NA	I10	1
W5_T7	27.2	2.05	2.19	7	F9	1	DNA	Citrus	Detached_leaf	0.1_mM_Potassium_phosphate_buffer	KPO4_buffer	5	NA	K9	1
W5_T7	27.2	2.05	2.19	7	F9	1	DNA	Citrus	Detached_leaf	0.1_mM_Potassium_phosphate_buffer	KPO4_buffer	5	NA	K10	1
U6_T0	39.8	2.05	2.06	0	G9	1	DNA	Citrus	Detached_leaf	1_mg_ml_803590	803590	6	NA	M9	1
U6_T0	39.8	2.05	2.06	0	G9	1	DNA	Citrus	Detached_leaf	1_mg_ml_803590	803590	6	NA	M10	1
Q4_T7	24.3	2.02	2.05	7	H9	1	DNA	Citrus	Detached_leaf	1_mg_ml_803584	803584	4	NA	O9	1
Q4_T7	24.3	2.02	2.05	7	H9	1	DNA	Citrus	Detached_leaf	1_mg_ml_803584	803584	4	NA	O10	1
P6_T7	64	1.97	2.06	7	A10	1	DNA	Citrus	Detached_leaf	1_mg_ml_838921	838921	6	NA	B9	1
P6_T7	64	1.97	2.06	7	A10	1	DNA	Citrus	Detached_leaf	1_mg_ml_838921	838921	6	NA	B10	1
W8_T0	25.6	2.01	2.13	0	B10	1	DNA	Citrus	Detached_leaf	0.1_mM_Potassium_phosphate_buffer	KPO4_buffer	8	NA	D9	1
W8_T0	25.6	2.01	2.13	0	B10	1	DNA	Citrus	Detached_leaf	0.1_mM_Potassium_phosphate_buffer	KPO4_buffer	8	NA	D10	1
U2_T7	32	2.07	2.14	7	C10	1	DNA	Citrus	Detached_leaf	1_mg_ml_803590	803590	2	NA	F9	1
U2_T7	32	2.07	2.14	7	C10	1	DNA	Citrus	Detached_leaf	1_mg_ml_803590	803590	2	NA	F10	1
U6_T7	33.1	1.98	1.88	7	D10	1	DNA	Citrus	Detached_leaf	1_mg_ml_803590	803590	6	NA	H9	1
U6_T7	33.1	1.98	1.88	7	D10	1	DNA	Citrus	Detached_leaf	1_mg_ml_803590	803590	6	NA	H10	1
T7_T0	40	1.99	2.16	0	E10	1	DNA	Citrus	Detached_leaf	1_mg_ml_803376	803376	7	NA	J9	1
T7_T0	40	1.99	2.16	0	E10	1	DNA	Citrus	Detached_leaf	1_mg_ml_803376	803376	7	NA	J10	1
R3_T7	52.7	2.02	2.22	7	F10	1	DNA	Citrus	Detached_leaf	1_mg_ml_803627	803627	3	NA	L9	1
R3_T7	52.7	2.02	2.22	7	F10	1	DNA	Citrus	Detached_leaf	1_mg_ml_803627	803627	3	NA	L10	1
S4_T7	53.2	2.04	2.2	7	G10	1	DNA	Citrus	Detached_leaf	1_mg_ml_803626	803626	4	NA	N9	1
S4_T7	53.2	2.04	2.2	7	G10	1	DNA	Citrus	Detached_leaf	1_mg_ml_803626	803626	4	NA	N10	1
V6_T7	30.2	2.07	1.76	7	H10	1	DNA	Citrus	Detached_leaf	0.5_mg_ml_Polymyxin_B_sulfate	PMB	6	NA	P9	1
V6_T7	30.2	2.07	1.76	7	H10	1	DNA	Citrus	Detached_leaf	0.5_mg_ml_Polymyxin_B_sulfate	PMB	6	NA	P10	1
V4_T0	29.7	2.08	2.18	0	A11	1	DNA	Citrus	Detached_leaf	0.5_mg_ml_Polymyxin_B_sulfate	PMB	4	NA	A11	1
V4_T0	29.7	2.08	2.18	0	A11	1	DNA	Citrus	Detached_leaf	0.5_mg_ml_Polymyxin_B_sulfate	PMB	4	NA	A12	1
S1_T0	43.4	1.99	2.01	0	B11	1	DNA	Citrus	Detached_leaf	1_mg_ml_803626	803626	1	NA	C11	1
S1_T0	43.4	1.99	2.01	0	B11	1	DNA	Citrus	Detached_leaf	1_mg_ml_803626	803626	1	NA	C12	1
W2_T0	26.5	1.97	1.74	0	C11	1	DNA	Citrus	Detached_leaf	0.1_mM_Potassium_phosphate_buffer	KPO4_buffer	2	NA	E11	1
W2_T0	26.5	1.97	1.74	0	C11	1	DNA	Citrus	Detached_leaf	0.1_mM_Potassium_phosphate_buffer	KPO4_buffer	2	NA	E12	1
V6_T0	29.9	1.96	1.9	0	D11	1	DNA	Citrus	Detached_leaf	0.5_mg_ml_Polymyxin_B_sulfate	PMB	6	NA	G11	1
V6_T0	29.9	1.96	1.9	0	D11	1	DNA	Citrus	Detached_leaf	0.5_mg_ml_Polymyxin_B_sulfate	PMB	6	NA	G12	1
V8_T0	46.4	2.03	1.99	0	E11	1	DNA	Citrus	Detached_leaf	0.5_mg_ml_Polymyxin_B_sulfate	PMB	8	NA	I11	1
V8_T0	46.4	2.03	1.99	0	E11	1	DNA	Citrus	Detached_leaf	0.5_mg_ml_Polymyxin_B_sulfate	PMB	8	NA	I12	1
R3_T0	47	2.03	2.24	0	F11	1	DNA	Citrus	Detached_leaf	1_mg_ml_803627	803627	3	NA	K11	1
R3_T0	47	2.03	2.24	0	F11	1	DNA	Citrus	Detached_leaf	1_mg_ml_803627	803627	3	NA	K12	1
U3_T0	29.5	2.03	2.2	0	G11	1	DNA	Citrus	Detached_leaf	1_mg_ml_803590	803590	3	NA	M11	1
U3_T0	29.5	2.03	2.2	0	G11	1	DNA	Citrus	Detached_leaf	1_mg_ml_803590	803590	3	NA	M12	1
Q1_T0	26.2	2.04	2.23	0	H11	1	DNA	Citrus	Detached_leaf	1_mg_ml_803584	803584	1	NA	O11	1
Q1_T0	26.2	2.04	2.23	0	H11	1	DNA	Citrus	Detached_leaf	1_mg_ml_803584	803584	1	NA	O12	1
Q10_T0	28.7	2.01	2.34	0	A12	1	DNA	Citrus	Detached_leaf	1_mg_ml_803584	803584	10	NA	B11	1
Q10_T0	28.7	2.01	2.34	0	A12	1	DNA	Citrus	Detached_leaf	1_mg_ml_803584	803584	10	NA	B12	1
S9_T7	40.8	1.97	1.88	7	B12	1	DNA	Citrus	Detached_leaf	1_mg_ml_803626	803626	9	NA	D11	1
S9_T7	40.8	1.97	1.88	7	B12	1	DNA	Citrus	Detached_leaf	1_mg_ml_803626	803626	9	NA	D12	1
W7_T7	28.6	1.98	1.81	7	C12	1	DNA	Citrus	Detached_leaf	0.1_mM_Potassium_phosphate_buffer	KPO4_buffer	7	NA	F11	1
W7_T7	28.6	1.98	1.81	7	C12	1	DNA	Citrus	Detached_leaf	0.1_mM_Potassium_phosphate_buffer	KPO4_buffer	7	NA	F12	1
Q7_T7	24.2	2.05	1.94	7	D12	1	DNA	Citrus	Detached_leaf	1_mg_ml_803584	803584	7	NA	H11	1
Q7_T7	24.2	2.05	1.94	7	D12	1	DNA	Citrus	Detached_leaf	1_mg_ml_803584	803584	7	NA	H12	1
V9_T7	50.7	2.03	2.07	7	E12	1	DNA	Citrus	Detached_leaf	0.5_mg_ml_Polymyxin_B_sulfate	PMB	9	NA	J11	1
V9_T7	50.7	2.03	2.07	7	E12	1	DNA	Citrus	Detached_leaf	0.5_mg_ml_Polymyxin_B_sulfate	PMB	9	NA	J12	1
V7_T0	23.6	1.94	1.89	0	F12	1	DNA	Citrus	Detached_leaf	0.5_mg_ml_Polymyxin_B_sulfate	PMB	7	NA	L11	1
V7_T0	23.6	1.94	1.89	0	F12	1	DNA	Citrus	Detached_leaf	0.5_mg_ml_Polymyxin_B_sulfate	PMB	7	NA	L12	1
R4_T7	34.9	1.97	2.24	7	G12	1	DNA	Citrus	Detached_leaf	1_mg_ml_803627	803627	4	NA	N11	1
R4_T7	34.9	1.97	2.24	7	G12	1	DNA	Citrus	Detached_leaf	1_mg_ml_803627	803627	4	NA	N12	1
S6_T7	37.9	2	1.88	7	H12	1	DNA	Citrus	Detached_leaf	1_mg_ml_803626	803626	6	NA	P11	1
S6_T7	37.9	2	1.88	7	H12	1	DNA	Citrus	Detached_leaf	1_mg_ml_803626	803626	6	NA	P12	1
W1_T0	32.6	2.01	1.96	0	A1	2	DNA	Citrus	Detached_leaf	0.1_mM_Potassium_phosphate_buffer	KPO4_buffer	1	NA	A13	1
W1_T0	32.6	2.01	1.96	0	A1	2	DNA	Citrus	Detached_leaf	0.1_mM_Potassium_phosphate_buffer	KPO4_buffer	1	NA	A14	1
U10_T7	33.7	2	1.88	7	B1	2	DNA	Citrus	Detached_leaf	1_mg_ml_803590	803590	10	NA	C13	1
U10_T7	33.7	2	1.88	7	B1	2	DNA	Citrus	Detached_leaf	1_mg_ml_803590	803590	10	NA	C14	1
U10_T0	31.7	2.04	1.91	0	C1	2	DNA	Citrus	Detached_leaf	1_mg_ml_803590	803590	10	NA	E13	1
